number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
33,0.572421783099989,2023-05-02 14:18:11.851598,2023-05-02 14:18:12.885855,0 days 00:00:01.034257,0.05100459366674592,0.0036492971519440152,0.5725501197562105,0.572421783099989,,,PRUNED
288,0.572422821956228,2023-05-02 14:26:10.079839,2023-05-02 14:26:11.055422,0 days 00:00:00.975583,0.09029891598592649,0.00221326656928467,0.572422821956228,,,,PRUNED
285,0.5724434158431778,2023-05-02 14:26:06.622161,2023-05-02 14:26:07.621888,0 days 00:00:00.999727,0.01977865698597697,0.0037578543068452156,0.5724434158431778,,,,PRUNED
319,0.5724457044459124,2023-05-02 14:26:49.986734,2023-05-02 14:26:50.985430,0 days 00:00:00.998696,0.00042366454343144646,0.0018616207455843753,0.5724457044459124,,,,PRUNED
207,0.5724793515760352,2023-05-02 14:23:53.864559,2023-05-02 14:23:54.843001,0 days 00:00:00.978442,0.03142861499518969,0.003746256207147637,0.5724793515760352,,,,PRUNED
309,0.5725216961216772,2023-05-02 14:26:36.074369,2023-05-02 14:26:37.101476,0 days 00:00:01.027107,0.10152195050438863,0.0021028601006960793,0.5725216961216772,,,,PRUNED
152,0.5725314822655432,2023-05-02 14:22:03.531246,2023-05-02 14:22:04.533505,0 days 00:00:01.002259,0.022191441046268853,0.003987147511615234,0.5725314822655432,,,,PRUNED
242,0.5725372061696951,2023-05-02 14:25:04.262155,2023-05-02 14:25:05.422925,0 days 00:00:01.160770,0.18777218784007138,0.002309638374500273,0.5725372061696951,,,,PRUNED
464,0.5725404485476792,2023-05-02 14:30:02.079481,2023-05-02 14:30:03.190695,0 days 00:00:01.111214,0.12093334639208225,0.003162314324637628,0.5725404485476792,,,,PRUNED
279,0.572540829220582,2023-05-02 14:25:56.507843,2023-05-02 14:25:57.694482,0 days 00:00:01.186639,0.05489669320878587,0.0037163072462855075,0.572540829220582,,,,PRUNED
294,0.572541446463052,2023-05-02 14:26:19.759642,2023-05-02 14:26:20.724228,0 days 00:00:00.964586,0.06265719283790924,0.0035303673677510297,0.572541446463052,,,,PRUNED
324,0.5725421554502874,2023-05-02 14:26:55.363488,2023-05-02 14:26:56.359775,0 days 00:00:00.996287,0.02176681212762035,0.0038736379994577783,0.5725421554502874,,,,PRUNED
137,0.5725659474560086,2023-05-02 14:21:28.221394,2023-05-02 14:21:29.417653,0 days 00:00:01.196259,0.07697918551531217,0.0035442350986009375,0.5725659474560086,,,,PRUNED
478,0.5725665246474453,2023-05-02 14:30:23.677001,2023-05-02 14:30:24.658642,0 days 00:00:00.981641,0.0005358072679849623,0.004000393957530277,0.5725665246474453,,,,PRUNED
379,0.5725764523679648,2023-05-02 14:28:10.595460,2023-05-02 14:28:11.598480,0 days 00:00:01.003020,0.018148077357672945,0.003929348308548786,0.5725764523679648,,,,PRUNED
301,0.572580136064325,2023-05-02 14:26:27.544267,2023-05-02 14:26:28.546389,0 days 00:00:01.002122,0.07549864046227903,0.0033405990305777583,0.572580136064325,,,,PRUNED
314,0.5725808263424838,2023-05-02 14:26:44.883629,2023-05-02 14:26:45.914788,0 days 00:00:01.031159,0.1998379456207326,0.0021841403621816447,0.5725808263424838,,,,PRUNED
83,0.5725873035675653,2023-05-02 14:19:50.830603,2023-05-02 14:19:52.039672,0 days 00:00:01.209069,0.005683669579455846,0.004124624189883794,0.5725873035675653,,,,PRUNED
